Hostname,Catalog Num,Description,Serial Number,Qty,Internal designation,Building,Street,Town or area,County or postcode,Country,GPS coordinates,Pricing 1 Year (Mar 2011 - Feb 2012),Comments and Actions Tomas West,Eqpt Type,Removal Total Price,Additions Total Price,Pricing 3 Year (Mar 2013 - Feb 2014)
cpe1-wit.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",34579480,1,WIT Main Campus ,,Cork Road ,Waterford ,Co. Waterford ,Ireland ,"52.2411, -7.15823","€1,537.94",,,,,"€1,537.94"
cpe2-cit.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049187,1,CIT Campus ,,Bishopstown ,Cork ,Co. Cork ,Ireland ,"51.8853, -8.5341","€1,537.94",,,,,"€1,537.94"
cpe2-rcsi.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35487195,1,Royal College of Surgeons in Ireland ,,123 St Stephen's Green ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3389, -6.26158","€1,537.94",,,,,"€1,537.94"
cpe2-tippinst.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",34978704,1,TippInst Clonmel Campus ,,Cashel Court ,Clonmel ,Co. Tipperary ,Ireland ,"52.3555, -7.70339","€1,537.94",,,,,"€1,537.94"
cwt-sr1.hea.net,CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC Supply w/IP Software",35049213,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475","€1,537.94",,,,,"€1,537.94"
rr1.hea.net,CISCO7301,"Cisco 7301 chassis, 512MB memory, A/C power,64MB Flash",74823815,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€966.93,,,,,€966.93
rr2.hea.net,CISCO7301,"Cisco 7301 chassis, 512MB memory, A/C power,64MB Flash",74824376,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€966.93,,,,,€966.93
cwt-ar2.net.edu.ie,CISCO7301,"Cisco 7301 chassis, 512MB memory, A/C power,64MB Flash",74821772,1,Citywest | ESAT-X,"BT Application Hosting, Unit 4029","Kingswood Road, National Digital Park",City West,Co. Dublin,Ireland,"53.2914, -6.41475",€966.93,,,,,€966.93
testlab-pe1.ardnet.net,CISCO7603,Cisco 7603 Chassis Bundle,FOX06470Q7K,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€439.38,,,,,€439.38
bh-pe1.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX0831000Q,1,Blanchardstown | Servecentric ,Unit 9 ,Blanchardstown Corporate Park ,Dublin 15 ,Co. Dublin ,Ireland ,"53.4122, -6.36969",€702.90,,,,,€702.90
bh-pe2.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX11380295,1,Blanchardstown | Servecentric ,Unit 9 ,Blanchardstown Corporate Park ,Dublin 15 ,Co. Dublin ,Ireland ,"53.4122, -6.36969",€702.90,,,,,€702.90
cork-pe1.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX0838005Z,1,UCC PoP ,,University College Cork ,Cork ,Co. Cork ,Ireland ,"51.8924, -8.49342",€702.90,,,,,€702.90
cork-pe2.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX11370CPG,1,UCC PoP ,,University College Cork ,Cork ,Co. Cork ,Ireland ,"51.8924, -8.49342",€702.90,,,,,€702.90
cwt-pe1.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX08310014,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€702.90,,,,,€702.90
dcu-pe1.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX083203WG,1,DCU ,Collins Avenue ,Glasnevin ,,Dublin 9 ,Ireland ,"53.386, -6.25918",€702.90,,,,,€702.90
dun-pe1,CISCO7606,Cisco 7606 Chassis,FOX10180404,1,DKIT Campus ,,Dublin Road ,Dundalk ,Co. Louth ,Ireland ,"53.9825, -6.39486",€702.90,,,,,€702.90
gal-pe1,CISCO7606,Cisco 7606 Chassis,FOX083605HC,1,NUIG Campus ,,University Road ,Galway ,Co. Galway ,Ireland ,"53.2795, -9.06042",€702.90,,,,,€702.90
gal-pe1,CISCO7606,Cisco 7606 Chassis,FOX083605HC,1,NUIG Campus ,,University Road ,Galway ,Co. Galway ,Ireland ,"53.2795, -9.06042",€702.90,,,,,€702.90
gal-pe2.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX11380292,1,NUIG Campus ,,University Road ,Galway ,Co. Galway ,Ireland ,"53.2795, -9.06042",€702.90,,,,,€702.90
lim-pe1,CISCO7606,Cisco 7606 Chassis,FOX08380049,1,University of Limerick ,,Plassey Park Rd,Limerick ,Co. Limerick ,Ireland ,"52.6663, -8.63735",€702.90,,,,,€702.90
pw-pe1.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX11370CPA,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€702.90,,,,,€702.90
pw-pe2.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX11370CNW,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€702.90,,,,,€702.90
tcd-pe1.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX08310007,1,TCD PoP ,,College Green ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3436, -6.25528",€702.90,,,,,€702.90
ucd-pe1,CISCO7606,Cisco 7606 Chassis,FOX083102TL,1,UCD Campus ,UCD Computer Centre ,Belfield ,Dublin 4 ,Co. Dublin ,Ireland ,"53.307, -6.22234",€702.90,,,,,€702.90
wit-pe1,CISCO7606,Cisco 7606 Chassis,FOX0942000M,1,WIT College St ,,College St. ,Waterford ,Co. Waterford ,Ireland ,"52.255, -7.11339",€702.90,,,,,€702.90
wit-pe2.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX11370CN5,1,WIT College St ,,College St. ,Waterford ,Co. Waterford ,Ireland ,"52.255, -7.11339",€702.90,,,,,€702.90
gal-pe2.ardnet.net,CISCO7606,Cisco 7606 Chassis,FOX0831000L,1,TCD O'Reilly Building,Trinity College Dublin,College Green,Dublin,Co. Dublin,Ireland ,"53.343554,-6.250287",€702.90,Add to new contract 2013 to 2014,,,,€702.90
cwt-pe2.ardnet.net,CISCO7609,^Cisco 7609 Chassis,FOX081906VT,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€468.69,,,,,€468.69
NA,CP-7942G,Cisco Unified IP Phone 7942G,FCH122281LA,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7942G,Cisco Unified IP Phone 7942G, FCH122281N3,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7942G,Cisco Unified IP Phone 7942G, FCH1222800E,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7942G,Cisco Unified IP Phone 7942G, FCH1222800V,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7942G,Cisco Unified IP Phone 7942G, FCH1221A5X1,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7942G,Cisco Unified IP Phone 7942G, FCH122281PD,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7942G,Cisco Unified IP Phone 7942G, FCH1221A6EQ,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7942G,Cisco Unified IP Phone 7942G, FCH1221A5Y8,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH14108YTH,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH14088E0A,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH14108YT9,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH14108YYS,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH14099U76,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D54Q,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D52Q,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D4TF,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5AK,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5D0,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D58W,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D52B,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D568,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D57C,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1220DU9B,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5B5,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D59X,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5MB,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5W3,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5JW,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5A4,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5LT,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5E4,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5C3,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5Y1,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D685,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D58V,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D582,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D599,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1220DU9J,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1219F017,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5CA,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5JL,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D53V,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D53W,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D54L,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D6L6,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5CX,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D52M,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5TS,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D54V,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5WU,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1225B020,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D5EB,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D58A,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D53H,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D52U,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D588,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH12488V5C,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH12488FE7,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH12488V0R,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH12488G6B,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH12488VYQ,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
NA,CP-7962G,Cisco Unified IP Phone 7962G, FCH1221D55Q,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€3.79,,IPT,,,€3.79
cr2-cwt.hea.net,CRS-16/S,Cisco CRS-1 16-Slot Carrier Routing System/Single,TBA11220049,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475","€75,539.56",,,,,"€75,539.56"
cr2-pw.hea.net,CRS-16/S,Cisco CRS-1 16-Slot Carrier Routing System/Single,TBA11340034,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929","€75,539.56",,,,,"€75,539.56"
cr2-cwt.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD111070038,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,,,,,€0.00
cr2-cwt.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD11103003Q,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,,,,,€0.00
cr2-cwt.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD111060074,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,,,,,€0.00
cr2-cwt.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD111030035,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,,,,,€0.00
cr2-cwt.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD111030021,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,,,,,€0.00
cr2-cwt.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD111030036,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,,,,,€0.00
cr2-pw.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD111050060,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€0.00,,,,,€0.00
cr2-pw.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD11103003A,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€0.00,,,,,€0.00
cr2-pw.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD11103005Q,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€0.00,,,,,€0.00
cr2-pw.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD11103003R,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€0.00,,,,,€0.00
cr2-pw.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD11103005M,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€0.00,,,,,€0.00
cr2-pw.hea.net,CRS-16-AC-RECT,Cisco CRS-1 Series AC Pwr Rectifier for 16 slot LCC and FCC,TD11051003O,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€0.00,,,,,€0.00
cr2-cwt.hea.net,CRS-16-ALARM,Cisco CRS-1 Series 16 Slots Alarm Board,SAD104405D4,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,,,,,€0.00
cr2-cwt.hea.net,CRS-16-ALARM,Cisco CRS-1 Series 16 Slots Alarm Board,SAD104405DX,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,,,,,€0.00
cr2-pw.hea.net,CRS-16-ALARM,Cisco CRS-1 Series 16 Slots Alarm Board,SAD104405EH,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€0.00,,,,,€0.00
cr2-pw.hea.net,CRS-16-ALARM,Cisco CRS-1 Series 16 Slots Alarm Board,SAD104405DR,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929",€0.00,,,,,€0.00
cr2-cwt.hea.net,CRS-16-FC140/S,switch fabric cards for CRS-3 140G system,SAL1628GPZG,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,Add to contract from September to 1st March 2014,6 month to co terminate,,,€0.00
cr2-cwt.hea.net,CRS-16-FC140/S,switch fabric cards for CRS-3 140G system,SAL1628G9R8,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€0.00,Add to contract from September to 1st March 2014,6 month to co terminate,,,€0.00
